leg_id,term,type,start,end,state,party,first,last,gender,terms,birthday
B000226,1,Senate,1789-03-04,1793-03-03,DE,Anti-Administration,Richard,Bassett,M,1,1745-04-02
B000546,1,House,1789-03-04,1791-03-03,VA,,Theodorick,Bland,M,1,1742-03-21
B001086,1,House,1789-03-04,1791-03-03,SC,,Aedanus,Burke,M,1,1743-06-16
C000187,1,House,1789-03-04,1791-03-03,MD,,Daniel,Carroll,M,1,1730-07-22
C000538,1,House,1789-03-04,1791-03-03,PA,,George,Clymer,M,1,1739-03-16
C000710,1,House,1789-03-04,1791-03-03,MD,,Benjamin,Contee,M,1,
D000013,1,Senate,1789-03-04,1791-03-03,MA,Pro-Administration,Tristram,Dalton,M,1,1738-05-28
E000155,1,Senate,1789-03-04,1791-03-03,NJ,Pro-Administration,Jonathan,Elmer,M,1,1745-11-29
F000100,1,Senate,1789-03-04,1793-03-03,GA,Anti-Administration,William,Few,M,1,1748-06-08
F000224,1,House,1789-03-04,1791-03-03,NY,,William,Floyd,M,1,1734-12-17
G000012,1,House,1789-03-04,1791-03-03,MD,,George,Gale,M,1,1756-06-03
G000403,1,Senate,1789-03-04,1791-03-03,VA,Anti-Administration,William,Grayson,M,1,
G000500,1,House,1789-03-04,1791-03-03,MA,,Jonathan,Grout,M,1,1737-07-23
H000368,1,Senate,1789-03-04,1795-03-03,NC,Pro-Administration,Benjamin,Hawkins,M,1,1754-08-15
H000995,1,House,1789-03-04,1791-03-03,CT,,Benjamin,Huntington,M,1,1736-04-19
I000053,1,Senate,1789-03-04,1795-03-03,SC,Pro-Administration,Ralph,Izard,M,1,
J000182,1,Senate,1789-03-04,1791-12-31,CT,Pro-Administration,William,Johnson,M,1,1727-10-07
J000198,1,Senate,1789-03-04,1793-03-03,NC,Pro-Administration,Samuel,Johnston,M,1,1733-12-15
L000201,1,Senate,1789-03-04,1793-03-03,VA,Anti-Administration,Richard,Lee,M,1,1732-01-20
M000031,1,Senate,1789-03-04,1791-03-03,PA,Anti-Administration,William,Maclay,M,1,1737-07-20
M000234,1,House,1789-03-04,1791-03-03,GA,,George,Mathews,M,1,1739-08-30
M000985,1,Senate,1789-03-04,1795-03-03,PA,Pro-Administration,Robert,Morris,M,1,1734-01-20
P000092,1,House,1789-03-04,1791-03-03,MA,,George,Partridge,M,1,1740-02-08
P000102,1,Senate,1789-03-04,1791-03-03,NJ,Pro-Administration,William,Paterson,M,1,1745-12-24
S000624,1,House,1789-03-04,1791-03-03,MD,,William,Smith,M,1,1728-04-12
S000961,1,House,1789-03-04,1791-03-03,MD,,Michael,Stone,M,1,
V000053,1,House,1789-03-04,1791-03-03,NY,,Jeremiah,Van Rensselaer,M,1,1738-08-27
W000783,1,House,1789-03-04,1791-03-03,PA,,Henry,Wynkoop,M,1,1737-03-02
D000324,1,Senate,1790-01-01,1793-03-03,NJ,Pro-Administration,Philemon,Dickinson,M,1,1739-04-05
W000059,1,Senate,1790-01-01,1791-03-03,VA,Pro-Administration,John,Walker,M,1,1744-02-13
A000307,1,House,1789-03-04,1791-03-03,NC,,John,Ashe,M,2,
A000307,2,House,1791-10-24,1793-03-03,NC,,John,Ashe,M,2,
B000167,1,House,1791-10-24,1793-03-03,SC,,Robert,Barnwell,M,1,1761-12-21
B001133,1,Senate,1791-10-24,1797-03-03,NY,Republican,Aaron,Burr,M,1,1756-02-06
C000009,1,Senate,1791-10-24,1797-03-03,MA,Federalist,George,Cabot,M,1,1752-12-03
C000185,1,Senate,1789-03-04,1791-03-03,MD,Pro-Administration,Charles,Carroll,M,2,1737-09-19
C000185,2,Senate,1791-10-24,1793-03-03,MD,,Charles,Carroll,M,2,1737-09-19
E000147,1,Senate,1789-03-04,1791-03-03,CT,Pro-Administration,Oliver,Ellsworth,M,2,1745-04-29
E000147,2,Senate,1791-10-24,1797-03-03,CT,Federalist,Oliver,Ellsworth,M,2,1745-04-29
G000139,1,House,1789-03-04,1791-03-03,MA,,Elbridge,Gerry,M,2,1744-07-17
G000139,2,House,1791-10-24,1793-03-03,MA,,Elbridge,Gerry,M,2,1744-07-17
H000916,1,House,1789-03-04,1791-03-03,SC,,Daniel,Huger,M,2,1742-02-20
H000916,2,House,1791-10-24,1793-03-03,SC,,Daniel,Huger,M,2,1742-02-20
J000036,1,House,1791-10-24,1793-03-03,PA,,Israel,Jacobs,M,1,1726-06-09
K000158,1,House,1791-10-24,1793-03-03,MD,,Philip,Key,M,1,
R000091,1,Senate,1789-03-04,1791-03-03,DE,Pro-Administration,George,Read,M,2,1733-09-18
R000091,2,Senate,1791-10-24,1793-12-31,DE,,George,Read,M,2,1733-09-18
R000350,1,Senate,1791-10-24,1796-10-15,VT,Anti-Administration,Moses,Robinson,M,1,1741-03-22
S000140,1,House,1791-10-24,1793-03-03,NY,,Cornelius,Schoonmaker,M,1,
S000242,1,House,1789-03-04,1791-03-03,MD,,Joshua,Seney,M,2,1756-03-04
S000242,2,House,1791-10-24,1793-03-03,MD,,Joshua,Seney,M,2,1756-03-04
S000340,1,House,1791-10-24,1793-03-03,MD,,Upton,Sheredine,M,1,
S000349,1,House,1789-03-04,1791-03-03,CT,Pro-Administration,Roger,Sherman,M,2,1721-04-19
S000349,2,Senate,1791-10-24,1793-12-31,CT,Pro-Administration,Roger,Sherman,M,2,1721-04-19
S000412,1,House,1789-03-04,1791-03-03,NY,,Peter,Silvester,M,2,
S000412,2,House,1791-10-24,1793-03-03,NY,,Peter,Silvester,M,2,
S000832,1,House,1789-03-04,1791-03-03,NC,,John,Steele,M,2,1764-11-16
S000832,2,House,1791-10-24,1793-03-03,NC,,John,Steele,M,2,1764-11-16
S000866,1,House,1791-10-24,1793-03-03,MD,,Samuel,Sterett,M,1,
S001047,1,House,1789-03-04,1791-03-03,CT,,Jonathan,Sturges,M,2,1740-08-23
S001047,2,House,1791-10-24,1793-03-03,CT,,Jonathan,Sturges,M,2,1740-08-23
T000403,1,House,1789-03-04,1791-03-03,SC,,Thomas,Tucker,M,2,1745-06-25
T000403,2,House,1791-10-24,1793-03-03,SC,,Thomas,Tucker,M,2,1745-06-25
W000216,1,House,1791-10-24,1793-03-03,GA,,Anthony,Wayne,M,1,1745-01-01
W000352,1,House,1789-03-04,1791-03-03,VA,,Alexander,White,M,2,
W000352,2,House,1791-10-24,1793-03-03,VA,,Alexander,White,M,2,
W000551,1,House,1789-03-04,1791-03-03,NC,Federalist,Hugh,Williamson,M,2,1735-12-05
W000551,2,House,1791-10-24,1793-03-03,NC,Federalist,Hugh,Williamson,M,2,1735-12-05
W000560,1,House,1791-10-24,1793-03-03,GA,,Francis,Willis,M,1,1745-01-05
E000075,1,Senate,1792-01-01,1795-03-03,KY,Anti-Administration,John,Edwards,M,1,
P000473,1,Senate,1793-01-10,1796-10-14,MD,Federalist,Richard,Potts,M,1,1753-07-19
A000280,1,House,1793-12-02,1795-03-03,PA,,James,Armstrong,M,1,1748-08-29
B000282,1,House,1793-12-02,1795-03-03,NJ,,John,Beatty,M,1,1749-12-10
B000661,1,House,1789-03-04,1791-03-03,NJ,,Elias,Boudinot,M,3,1740-05-02
B000661,2,House,1791-10-24,1793-03-03,NJ,,Elias,Boudinot,M,3,1740-05-02
B000661,3,House,1793-12-02,1795-03-03,NJ,,Elias,Boudinot,M,3,1740-05-02
B000671,1,House,1791-10-24,1793-03-03,MA,,Shearjashub,Bourne,M,2,1746-06-14
B000671,2,House,1793-12-02,1795-03-03,MA,,Shearjashub,Bourne,M,2,1746-06-14
B000739,1,Senate,1793-12-02,1797-12-31,RI,Federalist,William,Bradford,M,1,1729-11-04
C000012,1,House,1789-03-04,1791-03-03,NJ,,Lambert,Cadwalader,M,2,
C000012,2,House,1793-12-02,1795-03-03,NJ,,Lambert,Cadwalader,M,2,
C000163,1,House,1793-12-02,1795-03-03,GA,,Thomas,Carnes,M,1,
C000418,1,House,1791-10-24,1793-03-03,NJ,,Abraham,Clark,M,2,1726-02-15
C000418,2,House,1793-12-02,1795-03-03,NJ,,Abraham,Clark,M,2,1726-02-15
C000545,1,House,1793-12-02,1795-03-03,MA,,David,Cobb,M,1,1748-09-14
C000591,1,House,1793-12-02,1795-03-03,MA,,Peleg,Coffin,M,1,1756-11-03
D000157,1,House,1793-12-02,1795-03-03,NC,Anti-Administration,William,Dawson,M,1,
E000060,1,House,1793-12-02,1795-03-03,MD,,Benjamin,Edwards,M,1,1753-08-12
F000178,1,House,1789-03-04,1791-03-03,PA,,Thomas,Fitzsimons,M,3,
F000178,2,House,1791-10-24,1793-03-03,PA,,Thomas,Fitzsimons,M,3,
F000178,3,House,1793-12-02,1795-03-03,PA,,Thomas,Fitzsimons,M,3,
F000282,1,House,1793-12-02,1795-03-03,MD,,Uriah,Forrest,M,1,
F000368,1,Senate,1793-12-02,1797-03-03,NJ,Federalist,Frederick,Frelinghuysen,M,1,1753-04-13
G000211,1,House,1793-12-02,1795-03-03,SC,,Alexander,Gillon,M,1,
G000311,1,House,1791-10-24,1793-03-03,NY,,James,Gordon,M,2,1739-10-31
G000311,2,House,1793-12-02,1795-03-03,NY,,James,Gordon,M,2,1739-10-31
G000466,1,House,1789-03-04,1791-03-03,VA,,Samuel,Griffin,M,3,
G000466,2,House,1791-10-24,1793-03-03,VA,,Samuel,Griffin,M,3,
G000466,3,House,1793-12-02,1795-03-03,VA,,Samuel,Griffin,M,3,
H000750,1,House,1793-12-02,1795-03-03,MA,,Samuel,Holten,M,1,1738-06-09
I000035,1,House,1793-12-02,1795-03-03,PA,,William,Irvine,M,1,1741-11-03
L000178,1,House,1791-10-24,1793-03-03,CT,,Amasa,Learned,M,2,1750-11-15
L000178,2,House,1793-12-02,1795-03-03,CT,,Amasa,Learned,M,2,1750-11-15
L000200,1,House,1789-03-04,1791-03-03,VA,,Richard,Lee,M,3,1761-01-20
L000200,2,House,1791-10-24,1793-03-03,VA,,Richard,Lee,M,3,1761-01-20
L000200,3,House,1793-12-02,1795-03-03,VA,,Richard,Lee,M,3,1761-01-20
M000166,1,Senate,1793-12-02,1799-03-03,NC,Republican,Alexander,Martin,M,1,
M000424,1,House,1793-12-02,1795-03-03,NC,,Joseph,McDowell,M,1,1758-02-25
M000622,1,House,1793-12-02,1795-03-03,NC,,Alexander,Mebane,M,1,1744-11-26
M000645,1,House,1791-10-24,1793-03-03,MD,,John,Mercer,M,2,1759-05-17
M000645,2,House,1793-12-02,1795-03-03,MD,,John,Mercer,M,2,1759-05-17
M000828,1,Senate,1793-12-02,1795-03-03,CT,Pro-Administration,Stephen,Mitchell,M,1,1743-12-09
M000873,1,House,1793-12-02,1795-03-03,PA,,William,Montgomery,M,1,1736-08-03
N000055,1,House,1793-12-02,1795-03-03,VA,,Joseph,Neville,M,1,
N000109,1,House,1791-10-24,1793-03-03,VT,,Nathaniel,Niles,M,2,1741-04-03
N000109,2,House,1793-12-02,1795-03-03,VT,,Nathaniel,Niles,M,2,1741-04-03
P000320,1,House,1793-12-02,1795-03-03,SC,,Andrew,Pickens,M,1,1739-09-13
S000186,1,House,1789-03-04,1791-03-03,PA,,Thomas,Scott,M,2,
S000186,2,House,1793-12-02,1795-03-03,PA,,Thomas,Scott,M,2,
S001009,1,Senate,1789-03-04,1793-03-03,MA,Pro-Administration,Caleb,Strong,M,2,1745-01-09
S001009,2,Senate,1793-12-02,1797-03-03,MA,Federalist,Caleb,Strong,M,2,1745-01-09
T000019,1,House,1793-12-02,1795-03-03,NY,,Silas,Talbot,M,1,1751-01-11
T000361,1,House,1791-10-24,1793-03-03,NY,,Thomas,Tredwell,M,2,1743-02-06
T000361,2,House,1793-12-02,1795-03-03,NY,,Thomas,Tredwell,M,2,1743-02-06
V000039,1,House,1793-12-02,1795-03-03,NY,,Peter,Van Gaasbeck,M,1,1754-09-27
V000104,1,House,1789-03-04,1791-03-03,DE,Pro-Administration,John,Vining,M,3,1758-12-23
V000104,2,House,1791-10-24,1793-03-03,DE,Pro-Administration,John,Vining,M,3,1758-12-23
V000104,3,Senate,1793-12-02,1799-03-03,DE,Federalist,John,Vining,M,3,1758-12-23
W000013,1,House,1789-03-04,1791-03-03,CT,,Jeremiah,Wadsworth,M,3,1743-07-12
W000013,2,House,1791-10-24,1793-03-03,CT,,Jeremiah,Wadsworth,M,3,1743-07-12
W000013,3,House,1793-12-02,1795-03-03,CT,,Jeremiah,Wadsworth,M,3,1743-07-12
W000051,1,House,1793-12-02,1795-03-03,VA,,Francis,Walker,M,1,1764-06-22
W000127,1,House,1791-10-24,1793-03-03,MA,,Artemas,Ward,M,2,1727-11-26
W000127,2,House,1793-12-02,1795-03-03,MA,,Artemas,Ward,M,2,1727-11-26
W000211,1,House,1793-12-02,1795-03-03,NY,,John,Watts,M,1,1749-08-27
W000491,1,House,1793-12-02,1795-03-03,NC,,Benjamin,Williams,M,1,1751-01-01
W000633,1,Senate,1789-03-04,1793-03-03,NH,Anti-Administration,Paine,Wingate,M,2,1739-05-14
W000633,2,House,1793-12-02,1795-03-03,NH,,Paine,Wingate,M,2,1739-05-14
T000107,1,Senate,1794-01-01,1799-03-03,VA,Republican,Henry,Tazewell,M,1,1753-11-27
W000114,1,Senate,1795-11-16,1796-02-20,GA,Federalist,George,Walton,M,1,
A000174,1,House,1789-03-04,1791-03-03,MA,Federalist,Fisher,Ames,M,4,1758-04-09
A000174,2,House,1791-10-24,1793-03-03,MA,Federalist,Fisher,Ames,M,4,1758-04-09
A000174,3,House,1793-12-02,1795-03-03,MA,Federalist,Fisher,Ames,M,4,1758-04-09
A000174,4,House,1795-12-07,1797-03-03,MA,Federalist,Fisher,Ames,M,4,1758-04-09
B000474,1,Senate,1795-12-07,1801-03-03,PA,Federalist,William,Bingham,M,1,1752-03-08
B000563,1,House,1789-03-04,1791-03-03,NC,,Timothy,Bloodworth,M,2,
B000563,2,Senate,1795-12-07,1801-03-03,NC,Republican,Timothy,Bloodworth,M,2,
B000669,1,House,1789-03-04,1791-03-03,RI,Federalist,Benjamin,Bourne,M,4,1755-09-09
B000669,2,House,1791-10-24,1793-03-03,RI,Federalist,Benjamin,Bourne,M,4,1755-09-09
B000669,3,House,1793-12-02,1795-03-03,RI,Federalist,Benjamin,Bourne,M,4,1755-09-09
B000669,4,House,1795-12-07,1797-03-03,RI,Federalist,Benjamin,Bourne,M,4,1755-09-09
B001014,1,House,1795-12-07,1797-03-03,VT,Federalist,Daniel,Buck,M,1,1753-11-09
C000624,1,House,1789-03-04,1791-03-03,VA,Republican,Isaac,Coles,M,3,1747-03-02
C000624,2,House,1793-12-02,1795-03-03,VA,Republican,Isaac,Coles,M,3,1747-03-02
C000624,3,House,1795-12-07,1797-03-03,VA,Republican,Isaac,Coles,M,3,1747-03-02
C000848,1,House,1795-12-07,1797-03-03,MD,Federalist,Jeremiah,Crabb,M,1,
D000178,1,House,1793-12-02,1795-03-03,MA,Republican,Henry,Dearborn,M,2,1751-02-23
D000178,2,House,1795-12-07,1797-03-03,MA,Republican,Henry,Dearborn,M,2,1751-02-23
D000578,1,House,1793-12-02,1795-03-03,MD,Republican,Gabriel,Duvall,M,2,1752-12-06
D000578,2,House,1795-12-07,1797-03-03,MD,Republican,Gabriel,Duvall,M,2,1752-12-06
E000010,1,House,1795-12-07,1797-03-03,SC,Republican,Samuel,Earle,M,1,1760-11-28
G000173,1,House,1793-12-02,1795-03-03,NY,Federalist,Ezekiel,Gilbert,M,2,1756-03-25
G000173,2,House,1795-12-07,1797-03-03,NY,Federalist,Ezekiel,Gilbert,M,2,1756-03-25
G000434,1,House,1791-10-24,1793-03-03,KY,Republican,Christopher,Greenup,M,3,
G000434,2,House,1793-12-02,1795-03-03,KY,Republican,Christopher,Greenup,M,3,
G000434,3,House,1795-12-07,1797-03-03,KY,Republican,Christopher,Greenup,M,3,
G000526,1,Senate,1789-03-04,1795-03-03,GA,Federalist,James,Gunn,M,2,1753-03-13
G000526,2,Senate,1795-12-07,1801-03-03,GA,Federalist,James,Gunn,M,2,1753-03-13
H000148,1,House,1793-12-02,1795-03-03,VA,,George,Hancock,M,2,1754-06-13
H000148,2,House,1795-12-07,1797-03-03,VA,Federalist,George,Hancock,M,2,1754-06-13
H000348,1,House,1789-03-04,1791-03-03,NY,Republican,John,Hathorn,M,2,1749-01-09
H000348,2,House,1795-12-07,1797-03-03,NY,Republican,John,Hathorn,M,2,1749-01-09
H000431,1,House,1793-12-02,1795-03-03,VA,Republican,John,Heath,M,2,1758-05-08
H000431,2,House,1795-12-07,1797-03-03,VA,Republican,John,Heath,M,2,1758-05-08
H000488,1,House,1795-12-07,1797-03-03,NJ,Federalist,Thomas,Henderson,M,1,1743-08-15
H000508,1,Senate,1789-03-04,1795-03-03,MD,Pro-Administration,John,Henry,M,2,
H000508,2,Senate,1795-12-07,1797-12-31,MD,Federalist,John,Henry,M,2,
L000067,1,Senate,1789-03-04,1795-03-03,NH,Democratic Republican,John,Langdon,M,2,1741-06-26
L000067,2,Senate,1795-12-07,1801-03-03,NH,Republican,John,Langdon,M,2,1741-06-26
L000246,1,House,1789-03-04,1791-03-03,MA,Federalist,George,Leonard,M,3,1729-07-04
L000246,2,House,1791-10-24,1793-03-03,MA,Federalist,George,Leonard,M,3,1729-07-04
L000246,3,House,1795-12-07,1797-03-03,MA,Federalist,George,Leonard,M,3,1729-07-04
L000530,1,House,1793-12-02,1795-03-03,MA,Republican,William,Lyman,M,2,1755-12-07
L000530,2,House,1795-12-07,1797-03-03,MA,Republican,William,Lyman,M,2,1755-12-07
M000155,1,Senate,1795-12-07,1801-03-03,KY,Federalist,Humphrey,Marshall,M,1,
M001063,1,House,1789-03-04,1791-03-03,PA,Pro-administration,Frederick,Muhlenberg,M,4,1750-01-01
M001063,2,House,1791-10-24,1793-03-03,PA,Anti-administration,Frederick,Muhlenberg,M,4,1750-01-01
M001063,3,House,1793-12-02,1795-03-03,PA,Anti-administration,Frederick,Muhlenberg,M,4,1750-01-01
M001063,4,House,1795-12-07,1797-03-03,PA,Republican,Frederick,Muhlenberg,M,4,1750-01-01
M001119,1,House,1791-10-24,1793-03-03,MD,Federalist,William,Murray,M,3,1760-02-09
M001119,2,House,1793-12-02,1795-03-03,MD,Federalist,William,Murray,M,3,1760-02-09
M001119,3,House,1795-12-07,1797-03-03,MD,Federalist,William,Murray,M,3,1760-02-09
O000101,1,House,1791-10-24,1793-03-03,KY,Republican,Alexander,Orr,M,3,1761-11-06
